hardware_family,hardware_size,family,size,method,n,stat,inst,sqa_chain_strength_fraction,sqa_cop,sqa_fea,sqa_gap,optimum_probability,sqa_energy_gap,sqa_optimum_rate,mean_chain_break_fraction,broken_read_rate
chimera,16,mis,16,unbalanced,16,mean,20,1.0,327.68,0.11584999999999998,0.005,0.005,0.29656778711227394,0.005,0.012990625,0.18725000000000003
chimera,16,mis,16,unbalanced,16,std,20,1.0,300.3236807446259,0.025973592358393558,0.02179449471770337,0.00458257569495584,0.03236676974783394,0.00458257569495584,0.007596624327415106,0.09915890025610409
chimera,16,mis,20,projected_full,20,mean,20,1.0,786.432,0.05305,0.045618686868686864,0.00075,0.31824815209832735,0.00075,0.0450175,0.5688000000000001
chimera,16,mis,20,projected_full,20,std,20,1.0,803.7182847978513,0.01756267348668761,0.05107271103853038,0.0007664854858377946,0.020167213107737295,0.0007664854858377946,0.020784178327516348,0.15860220679423098
chimera,16,mis,20,projected_topology,20,mean,20,1.0,786.432,0.09925,0.05218434343434344,0.00075,0.3647074687440779,0.00075,0.0,0.0
chimera,16,mis,20,projected_topology,20,std,20,1.0,930.5188911965196,0.03523191025192929,0.052797968384339596,0.0008874119674649425,0.04853544490138784,0.0008874119674649425,0.0,0.0
chimera,16,mis,20,projected_up_support,20,mean,20,1.0,2359.296,0.06849999999999999,0.01472222222222222,0.00225,0.2836395458223946,0.00225,0.0042025,0.081
chimera,16,mis,20,projected_up_support,20,std,20,1.0,2294.3216683755572,0.023463801908471693,0.03532367967354212,0.0021880356487041066,0.029858407474960234,0.0021880356487041066,0.001619758855509054,0.029344505448209553
chimera,16,mis,20,unbalanced,20,mean,20,1.0,1887.4368000000002,0.11764999999999999,0.02996212121212121,0.0018000000000000002,0.3295347014415428,0.0018000000000000002,0.012462499999999998,0.21555
chimera,16,mis,20,unbalanced,20,std,20,1.0,1893.2532600129757,0.041008870991530604,0.04630298754063549,0.001805547008526779,0.026434442763747346,0.001805547008526779,0.006855834650135605,0.10589734415933197
pegasus,16,mdkp,5,projected_full,5,mean,20,1.0,1.3088,0.23755000000000007,0.0,0.0409,0.32671513127313895,0.0409,0.05068,0.25339999999999996
pegasus,16,mdkp,5,projected_full,5,std,20,1.0,0.705082803647912,0.11523605121662231,0.0,0.02203383761399725,0.05312228582536056,0.02203383761399725,0.012648857655930828,0.06324428827965416
pegasus,16,mdkp,5,projected_topology,5,mean,20,1.0,1.312,0.246,0.0,0.041,0.3412702610303293,0.041,0.0,0.0
pegasus,16,mdkp,5,projected_topology,5,std,20,1.0,0.5840328757869714,0.10112764211628789,0.0,0.018251027368342856,0.035323915288908506,0.018251027368342856,0.0,0.0
pegasus,16,mdkp,5,projected_up_support,5,mean,20,1.0,1.1696000000000002,0.23540000000000005,0.0,0.036550000000000006,0.33625366471146556,0.036550000000000006,0.050129999999999994,0.25064999999999993
pegasus,16,mdkp,5,projected_up_support,5,std,20,1.0,0.5052023752913282,0.11427221884605199,0.0,0.015787574227854005,0.04766230727301708,0.015787574227854005,0.011908026704706367,0.05954013352353185
pegasus,16,mdkp,5,unbalanced,5,mean,20,1.0,1.4768000000000003,0.23035,0.0,0.04615000000000001,0.30843418315031923,0.04615000000000001,0.09154,0.4577000000000001
pegasus,16,mdkp,5,unbalanced,5,std,20,1.0,0.9036402824133064,0.11611428637338303,0.0,0.028238758825415825,0.056282860322819796,0.028238758825415825,0.0040135271271040385,0.020067635635520192
pegasus,16,mdkp,10,projected_full,10,mean,20,1.0,1.1264,0.10395000000000001,0.011077122720403811,0.0011,0.3903559710207666,0.0011,0.16716000000000003,0.8440999999999999
pegasus,16,mdkp,10,projected_full,10,std,20,1.0,1.0188671355971788,0.04603745757532664,0.02044298379042086,0.00099498743710662,0.03179753977234052,0.00099498743710662,0.02997547997947655,0.05713571562516741
pegasus,16,mdkp,10,projected_topology,10,mean,20,1.0,1.3312000000000002,0.13685,0.012745320604607957,0.0013000000000000002,0.3913281396627816,0.0013000000000000002,0.0,0.0
pegasus,16,mdkp,10,projected_topology,10,std,20,1.0,1.2159326297126827,0.051100171232589815,0.026197647085335937,0.0011874342087037917,0.03690258257147833,0.0011874342087037917,0.0,0.0
pegasus,16,mdkp,10,projected_up_support,10,mean,20,1.0,1.1263999999999998,0.10600000000000001,0.030116965053989676,0.0010999999999999998,0.39273796808438144,0.0010999999999999998,0.17035000000000003,0.84785
pegasus,16,mdkp,10,projected_up_support,10,std,20,1.0,1.4445297643177866,0.04012480529547776,0.04544429868691703,0.0014106735979665884,0.042875333340619,0.0014106735979665884,0.029205282056504786,0.05078609553805056
pegasus,16,mdkp,10,unbalanced,10,mean,20,1.0,1.0752000000000002,0.0517,0.03485047779721663,0.0010500000000000002,0.3523517119561128,0.0010500000000000002,0.25357,0.954
pegasus,16,mdkp,10,unbalanced,10,std,20,1.0,1.6343951052300665,0.02445219826518671,0.05402805552141703,0.0015960889699512368,0.05498287538244569,0.0015960889699512368,0.0421078745604667,0.024114311103574974
pegasus,16,mdkp,15,projected_full,15,mean,20,1.0,0.0,0.09280000000000001,0.10451586114109654,0.0,0.4314878142999853,0.0,0.2670666666666667,0.99225
pegasus,16,mdkp,15,projected_full,15,std,20,1.0,0.0,0.034033219066083066,0.0499945953363932,0.0,0.041817382404659036,0.0,0.01563903947036248,0.0037265936188428197
pegasus,16,mdkp,15,projected_topology,15,mean,20,1.0,1.6384,0.12489999999999998,0.08063377452213508,5e-05,0.41262579604438104,5e-05,0.0,0.0
pegasus,16,mdkp,15,projected_topology,15,std,20,1.0,7.141620029097039,0.04399306763570825,0.044855085810659355,0.00021794494717703366,0.0291322691504505,0.00021794494717703366,0.0,0.0
pegasus,16,mdkp,15,projected_up_support,15,mean,20,1.0,1.6384,0.09265000000000001,0.10713489716463458,5e-05,0.4313065766659439,5e-05,0.26913,0.9907999999999999
pegasus,16,mdkp,15,projected_up_support,15,std,20,1.0,7.141620029097039,0.03653665967217036,0.05356567083921553,0.00021794494717703366,0.04407571357337647,0.00021794494717703366,0.018199810438573258,0.0052019227214559855
pegasus,16,mdkp,15,unbalanced,15,mean,20,1.0,0.0,0.07375,0.08816664025483056,0.0,0.39599385948129756,0.0,0.3454766666666666,0.9982
pegasus,16,mdkp,15,unbalanced,15,std,20,1.0,0.0,0.0261493307753755,0.04778056114235153,0.0,0.04085729498787104,0.0,0.024900676251414903,0.0015033296378372922
pegasus,16,mdkp,20,projected_full,20,mean,20,1.0,0.0,0.13185,0.14569578644685507,0.0,0.4396671119538036,0.0,0.346975,0.99975
pegasus,16,mdkp,20,projected_full,20,std,20,1.0,0.0,0.051452186542459005,0.03532758892649565,0.0,0.02295945505009036,0.0,0.028263954518078317,0.0005361902647381809
pegasus,16,mdkp,20,projected_topology,20,mean,20,1.0,0.0,0.1246,0.11488851311018385,0.0,0.41063933596514984,0.0,0.0,0.0
pegasus,16,mdkp,20,projected_topology,20,std,20,1.0,0.0,0.05818883054332678,0.029392494681434844,0.0,0.023057102320549618,0.0,0.0,0.0
pegasus,16,mdkp,20,projected_up_support,20,mean,20,1.0,0.0,0.12345000000000002,0.10923648883487577,0.0,0.42575295517085376,0.0,0.3461275,0.9996499999999999
pegasus,16,mdkp,20,projected_up_support,20,std,20,1.0,0.0,0.04991740678360606,0.053940472561118,0.0,0.024895118057504783,0.0,0.03330970006994959,0.0005722761571129803
pegasus,16,mdkp,20,unbalanced,20,mean,20,1.0,0.0,0.15100000000000002,0.10675002897905758,0.0,0.422151664761758,0.0,0.3736775,0.99985
pegasus,16,mdkp,20,unbalanced,20,std,20,1.0,0.0,0.054911747377041284,0.041861023127217546,0.0,0.023586208959099256,0.0,0.033411762431066104,0.00035707142142714284
pegasus,16,mis,8,projected_full,8,mean,20,1.0,15.0144,0.27904999999999996,0.0,0.05865,0.23784416358211846,0.05865,0.06638124999999999,0.43005000000000004
pegasus,16,mis,8,projected_full,8,std,20,1.0,4.37098916036176,0.06521155955810289,0.0,0.017074176407663125,0.024906962420263388,0.017074176407663125,0.017614468262979157,0.08676086387306203
