hardware_family,hardware_size,family,size,method,n,inst,sqa_cop_median,sqa_cop_q25,sqa_cop_q75,sqa_cop_mean,sqa_cop_ci95_low,sqa_cop_ci95_high,sqa_fea_median,sqa_fea_q25,sqa_fea_q75,sqa_fea_mean,sqa_fea_ci95_low,sqa_fea_ci95_high,sqa_gap_median,sqa_gap_q25,sqa_gap_q75,sqa_gap_mean,sqa_gap_ci95_low,sqa_gap_ci95_high,optimum_probability_median,optimum_probability_q25,optimum_probability_q75,optimum_probability_mean,optimum_probability_ci95_low,optimum_probability_ci95_high,sqa_energy_gap_median,sqa_energy_gap_q25,sqa_energy_gap_q75,sqa_energy_gap_mean,sqa_energy_gap_ci95_low,sqa_energy_gap_ci95_high,sqa_optimum_rate_median,sqa_optimum_rate_q25,sqa_optimum_rate_q75,sqa_optimum_rate_mean,sqa_optimum_rate_ci95_low,sqa_optimum_rate_ci95_high,mean_chain_break_fraction_median,mean_chain_break_fraction_q25,mean_chain_break_fraction_q75,mean_chain_break_fraction_mean,mean_chain_break_fraction_ci95_low,mean_chain_break_fraction_ci95_high,broken_read_rate_median,broken_read_rate_q25,broken_read_rate_q75,broken_read_rate_mean,broken_read_rate_ci95_low,broken_read_rate_ci95_high,sqa_cop_nonzero_rate,sqa_gap_zero_rate
pegasus,16,mdkp,15,projected_topology_unb_pen,15,20,0.0,0.0,0.0,6.5536,1.6384,13.1072,0.2725,0.21675,0.29774999999999996,0.26465,0.2351975,0.29565374999999994,0.028047503354463644,0.002806341153877102,0.050338515696595476,0.029179087612318307,0.01780319325910941,0.04075008728615774,0.0,0.0,0.0,0.0002,5e-05,0.0004,0.3842562440626721,0.37618486804170104,0.41598451890687,0.39364928830585233,0.3835329691058516,0.4037405357140918,0.0,0.0,0.0,0.0002,5e-05,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2
pegasus,16,mdkp,15,unbalanced,15,20,0.0,0.0,0.0,0.0,0.0,0.0,0.073,0.0645,0.08600000000000001,0.07375,0.06224999999999999,0.08490124999999998,0.07170054898656048,0.059056018739299054,0.12064346801709824,0.08816664025483056,0.06739270813930426,0.1097496572124433,0.0,0.0,0.0,0.0,0.0,0.0,0.3870393720951446,0.364103417815811,0.4122759989134376,0.39599385948129756,0.37922060598668655,0.4149634945137184,0.0,0.0,0.0,0.0,0.0,0.0,0.3415,0.3289,0.3533666666666667,0.3454766666666666,0.3350426666666667,0.35662416666666674,0.9984999999999999,0.99775,0.999,0.9982,0.9975000000000002,0.9988000000000001,0.0,0.0
pegasus,16,mdkp,20,projected_topology_unb_pen,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.3195,0.274,0.371,0.33735,0.2963974999999999,0.38249999999999995,0.08275034840029019,0.05977037327777233,0.11738708659212632,0.08563724571999543,0.06933690753295896,0.1019512287498859,0.0,0.0,0.0,0.0,0.0,0.0,0.4136078925656422,0.40612805837798893,0.4213431844425029,0.4116830454425376,0.4034249077075614,0.4188191408997785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pegasus,16,mdkp,20,unbalanced,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.137,0.11475,0.17025,0.15100000000000002,0.1285,0.1765,0.10368520993437821,0.090761664651159,0.14555429462907996,0.10675002897905758,0.08817735809137113,0.1242033412598932,0.0,0.0,0.0,0.0,0.0,0.0,0.42042194930859833,0.41244115692118805,0.428609705460716,0.422151664761758,0.4122098212388922,0.4324896482927998,0.0,0.0,0.0,0.0,0.0,0.0,0.37035,0.358225,0.3904625,0.3736775,0.358786875,0.38827306249999993,1.0,1.0,1.0,0.99985,0.9997,1.0,0.0,0.0
pegasus,16,mis,8,projected_topology_unb_pen,8,20,12.544,9.472,16.256,12.326400000000001,10.457600000000001,14.157119999999995,0.3015,0.23625,0.361,0.30110000000000003,0.26939749999999996,0.33310125,0.0,0.0,0.0,0.0,0.0,0.0,0.049,0.037,0.0635,0.048150000000000005,0.04075000000000001,0.055349999999999996,0.2674162622795597,0.2618040301372118,0.27873695247520086,0.27369825092500294,0.2615384140243217,0.2867240883497021,0.049,0.037,0.0635,0.048150000000000005,0.040850000000000004,0.055200000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
pegasus,16,mis,8,unbalanced,8,20,12.672,9.408,16.64,13.0816,11.2,14.950719999999997,0.3115,0.24925,0.34625,0.3003,0.27044874999999996,0.32860125,0.0,0.0,0.0,0.0,0.0,0.0,0.0495,0.03675,0.065,0.0511,0.04384875,0.05834999999999999,0.26643627243653956,0.23839411584431505,0.2786569546362122,0.264620148216444,0.2513777323729991,0.2784096358010029,0.0495,0.03675,0.065,0.0511,0.04380000000000001,0.058251249999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
pegasus,16,mis,12,projected_topology_unb_pen,12,20,18.432000000000002,12.288,37.888,29.286400000000004,19.2512,40.755199999999995,0.155,0.14175,0.2165,0.17875,0.15560000000000002,0.20545249999999995,0.0,0.0,0.0,0.007142857142857143,0.0,0.02142857142857143,0.0045000000000000005,0.003,0.00925,0.007150000000000001,0.0048000000000000004,0.00995,0.315106340687736,0.2993898543808879,0.34492247603266657,0.31925453572352347,0.30458376633391954,0.3338036722741373,0.0045000000000000005,0.003,0.00925,0.007150000000000001,0.0048000000000000004,0.0099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
pegasus,16,mis,12,unbalanced,12,20,32.768,16.384,58.368,39.321600000000004,28.666880000000006,51.4048,0.1555,0.14024999999999999,0.179,0.16729999999999998,0.14520000000000005,0.19220249999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.004,0.01425,0.009600000000000001,0.007050000000000001,0.01245,0.2946500680711631,0.2805208837040619,0.3211797260710304,0.2947097440289053,0.28073464734094006,0.308946766620529,0.008,0.004,0.01425,0.009600000000000001,0.006999999999999999,0.012301249999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
pegasus,16,mis,16,projected_topology_unb_pen,16,20,98.304,65.536,278.528,186.7776,114.68800000000002,271.97440000000006,0.1235,0.11525,0.151,0.1356,0.12320000000000002,0.14990124999999996,0.0,0.0,0.0,0.01111111111111111,0.0,0.02777777777777778,0.0015,0.001,0.00425,0.00285,0.0017500000000000003,0.00415,0.349012339631063,0.32444196428571426,0.38196969696969696,0.3564349538580301,0.33616561813265505,0.37750039937312807,0.0015,0.001,0.00425,0.00285,0.0017500000000000003,0.00415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
pegasus,16,mis,16,unbalanced,16,20,327.68,114.688,409.6,301.4656000000001,209.7152,399.7696,0.1235,0.1125,0.14125000000000001,0.12805,0.11750000000000001,0.1395,0.0,0.0,0.0,0.010555555555555556,0.0,0.026666666666666665,0.005,0.00175,0.00625,0.004600000000000002,0.0031987499999999998,0.006050000000000001,0.3024920312952767,0.288723799817576,0.31880794278239105,0.3026749637347987,0.2904733365205291,0.31373586944653187,0.005,0.00175,0.00625,0.004600000000000002,0.00315,0.0060999999999999995,0.0,0.0,0.00090625,0.0005093750000000001,0.00021875000000000003,0.0008374999999999999,0.0,0.0,0.0145,0.008150000000000001,0.0037500000000000007,0.01335,1.0,1.0
