hardware_family,hardware_size,family,size,method,n,stat,inst,sqa_cop,sqa_fea,sqa_gap,optimum_probability,sqa_energy_gap,sqa_optimum_rate,mean_chain_break_fraction,broken_read_rate
pegasus,16,mdkp,15,projected_topology_unb_pen,15,std,20,13.1072,0.06849910583358004,0.026267613886076624,0.0004,0.023464836191866015,0.0004,0.0,0.0
pegasus,16,mdkp,15,unbalanced,15,mean,20,0.0,0.07375,0.08816664025483056,0.0,0.39599385948129756,0.0,0.3454766666666666,0.9982
pegasus,16,mdkp,15,unbalanced,15,std,20,0.0,0.0261493307753755,0.04778056114235153,0.0,0.04085729498787104,0.0,0.024900676251414903,0.0015033296378372922
pegasus,16,mdkp,20,projected_topology_unb_pen,20,mean,20,0.0,0.33735,0.08563724571999543,0.0,0.4116830454425376,0.0,0.0,0.0
pegasus,16,mdkp,20,projected_topology_unb_pen,20,std,20,0.0,0.10038141013155774,0.038033892441953904,0.0,0.01765939029893588,0.0,0.0,0.0
pegasus,16,mdkp,20,unbalanced,20,mean,20,0.0,0.15100000000000002,0.10675002897905758,0.0,0.422151664761758,0.0,0.3736775,0.99985
pegasus,16,mdkp,20,unbalanced,20,std,20,0.0,0.054911747377041284,0.041861023127217546,0.0,0.023586208959099256,0.0,0.033411762431066104,0.00035707142142714284
pegasus,16,mis,8,projected_topology_unb_pen,8,mean,20,12.326400000000001,0.30110000000000003,0.0,0.048150000000000005,0.27369825092500294,0.048150000000000005,0.0,0.0
pegasus,16,mis,8,projected_topology_unb_pen,8,std,20,4.196584973523115,0.07364366911011427,0.0,0.01639291005282467,0.02870780076794828,0.01639291005282467,0.0,0.0
pegasus,16,mis,8,unbalanced,8,mean,20,13.0816,0.3003,0.0,0.0511,0.264620148216444,0.0511,0.0,0.0
pegasus,16,mis,8,unbalanced,8,std,20,4.257534760868078,0.06823056499839351,0.0,0.016630995159640928,0.03061438512594084,0.016630995159640928,0.0,0.0
pegasus,16,mis,12,projected_topology_unb_pen,12,mean,20,29.286400000000004,0.17875,0.007142857142857143,0.007150000000000001,0.31925453572352347,0.007150000000000001,0.0,0.0
pegasus,16,mis,12,projected_topology_unb_pen,12,std,20,24.10296759820251,0.056501216801056596,0.031134992453861955,0.00588451357377991,0.03314173243727306,0.00588451357377991,0.0,0.0
pegasus,16,mis,12,unbalanced,12,mean,20,39.321600000000004,0.16729999999999998,0.0,0.009600000000000001,0.2947097440289053,0.009600000000000001,0.0,0.0
pegasus,16,mis,12,unbalanced,12,std,20,25.229498113121473,0.053272037693334016,0.0,0.006159545437773797,0.0330199513188321,0.006159545437773797,0.0,0.0
pegasus,16,mis,16,projected_topology_unb_pen,16,mean,20,186.7776,0.1356,0.01111111111111111,0.00285,0.3564349538580301,0.00285,0.0,0.0
pegasus,16,mis,16,projected_topology_unb_pen,16,std,20,179.80646907339013,0.030767515336796374,0.03333333333333333,0.00274362898366379,0.04672368042463877,0.00274362898366379,0.0,0.0
pegasus,16,mis,16,unbalanced,16,mean,20,301.4656000000001,0.12805,0.010555555555555556,0.004600000000000002,0.3026749637347987,0.004600000000000002,0.0005093750000000001,0.008150000000000001
pegasus,16,mis,16,unbalanced,16,std,20,220.6919326496553,0.02555088061104744,0.031715362169315746,0.003367491648096547,0.026462960778314813,0.003367491648096547,0.0006999651218989416,0.011199441950383065
pegasus,16,mis,20,projected_topology_unb_pen,20,mean,20,419.4304,0.10535000000000001,0.07986111111111113,0.0004,0.40428373893330205,0.0004,0.0,0.0
pegasus,16,mis,20,projected_topology_unb_pen,20,std,20,770.5428469585842,0.03150916533328041,0.05900326288320162,0.0007348469228349535,0.04144740015727663,0.0007348469228349535,0.0,0.0
pegasus,16,mis,20,unbalanced,20,mean,20,2306.8672000000006,0.13310000000000002,0.02888888888888889,0.0022000000000000006,0.33013211218758415,0.0022000000000000006,0.0015675,0.03075
pegasus,16,mis,20,unbalanced,20,std,20,2602.497190603702,0.0401184496210908,0.04446527289725276,0.0024819347291981718,0.03096746082614516,0.0024819347291981718,0.0014412039238081472,0.027867319569703865
zephyr,16,mdkp,5,projected_topology_unb_pen,5,mean,20,1.3024,0.26270000000000004,0.0,0.0407,0.3389864282109803,0.0407,0.0,0.0
zephyr,16,mdkp,5,projected_topology_unb_pen,5,std,20,0.5452315471430463,0.1167360698327642,0.0,0.017038485848220198,0.03720282410789355,0.017038485848220198,0.0,0.0
zephyr,16,mdkp,5,unbalanced,5,mean,20,1.1888,0.21564999999999998,0.0,0.03715,0.33150195053109865,0.03715,0.09625000000000002,0.47205
